There were varying degrees of Romanization throughout Roman Dacia.	整个罗马达契亚有不同程度的罗马化。
They became larger towards the sides of the trunk, where they reached 5 to 10 cm (2.0 to 3.9 in) in diameter; their shape became more irregular.	它们在躯干两侧变大，直径达到 5 至 10 厘米（2.0 至 3.9 英寸）；形状变得更加不规则。
A cold front's location is at the leading edge of the temperature drop-off, which in an isotherm analysis shows up as the leading edge of the isotherm gradient, and it normally lies within a sharp surface trough.	冷锋位置在温度下降前缘，在等温线分析中显示为等温线梯度前缘，它通常位于尖锐的表面低压槽内。
Cold fronts can move up to twice as fast as warm fronts and produce sharper changes in weather, since cold air is denser than warm air and rapidly lifts the warm air as the cold air moves in.	冷锋的移动速度可以达到暖锋的两倍，并且会产生更剧烈的天气变化，因为冷空气的密度比暖空气大，冷空气移动时会迅速抬升暖空气。
Cold fronts are typically accompanied by a narrow band of showers and thunderstorms.	冷锋通常伴随狭窄的阵雨和雷暴带。
On a weather map, the surface position of the cold front is marked with the symbol of a blue line of triangles/spikes (pips) pointing in the direction of travel, at the leading edge of the cooler air mass.	在气象图上，冷锋的表面位置被标记为蓝色三角形/尖峰（吸气峰压）的符号，指向行进方向，位于较冷气团的前缘。
Warm fronts mark the position on the Earth's surface where a relatively warm body of air has displaced colder air.	暖锋标志着地球表面上相对温暖的气体取代较冷空气的位置。
The temperature increase is located on the equatorward edge of the gradient in isotherms, and lies within broader low pressure troughs than is the case with cold fronts.	温度上升位于等温线梯度的赤道边缘，并且位于比冷锋更宽的低压槽内。
Warm fronts move more slowly than do the cold fronts because cold air is denser, and harder to displace from the Earth's surface.	暖锋移动速度比冷锋慢，因为冷空气密度较大，更难从地球表面移开。
This causes temperature differences across warm fronts to be broader in scale.	这导致暖锋之间的温差规模更大。
The warm air mass overrides the cold air mass and temperature changes occur at higher altitudes before those at the surface.	暖气团覆盖冷气团，温度变化发生在高海拔地区，之后它们才到达表面。
Clouds ahead of the warm front are mostly stratiform and rainfall gradually increases as the front approaches.	暖锋前方的云层大多呈层状，随着暖锋临近，降雨量逐渐增加。
Fog can also occur preceding a warm front passage.	暖锋通过前也会出现大雾。
Clearing and warming is usually rapid after the passage of a warm front.	暖锋通过后，通常会迅速放晴和变暖。
If the warm air mass is unstable, mixing of the warm moist air will produce thunderstorms that are embedded among the stratiform clouds ahead of the front, and after frontal passage, thundershowers may continue.	如果暖气团不稳定，暖湿空气混合将产生雷暴，这些雷暴嵌入锋前方的层状云中，锋面通过后，雷阵雨可能会继续。
On weather maps, the surface location of a warm front is marked with a red line of half circles pointing in the direction of travel.	在气象图上，暖锋的表面位置用半圆红线标记，指向行进方向。
An occluded front is formed during the process of cyclogenesis when a cold front overtakes a warm front.	在气旋形成过程中，当冷锋超过暖锋时，就会形成锢囚锋。
The cold and warm fronts curve naturally poleward into the point of occlusion, which is also known as the triple point in meteorology.	冷锋和暖锋自然而然地极向弯曲进入锢囚点，这在气象学上也被称为三相点。
It lies within a sharp trough, but the air mass behind the boundary can be either warm or cold.	它位于尖锐的低压槽内，但边界后面的气团可以是暖气团或冷气团。
In a cold occlusion, the air mass overtaking the warm front is cooler than the cool air ahead of the warm front, and plows under both air masses.	在冷锢囚锋中，超越暖锋的气团比暖锋前面的冷空气更冷，并在这两个气团下犁过。
In a warm occlusion, the air mass overtaking the warm front is not as cool as the cold air ahead of the warm front, and rides over the colder air mass while lifting the warm air.	在暖锢囚锋中，超越暖锋的气团不像暖锋前面的冷空气那样冷，而是骑在较冷的气团上，同时抬升暖空气。
A wide variety of weather can be found along an occluded front, with thunderstorms possible, but usually their passage is associated with a drying of the air mass.	沿锢囚锋可以发现各种各样的天气，可能有雷暴，但其通过一般与气团干燥有关。
Though silvertip sharks are quite mobile, they exhibit fidelity to certain areas, with reports of territorial behavior.	虽然银鳍鲨行动灵活，但它们对某些区域表现出忠诚度，并有领土行为的报道。
They are usually encountered alone or in pairs.	它们通常单独或成对出现。
Small groups of adult females have been seen in deep water.	有人在深水域中曾看到过一小群成年雌性。
Individual silvertip sharks behave very aggressively towards one another, and many are heavily scarred.	个别银鳍鲨彼此的行为很有攻击性，许多银鳍鲨身上伤痕累累。
They are also reported to dominate Galapagos sharks (C. galapagensis) and blacktip sharks (C.	据报道，在争夺食物时，它们还会支配同等体型的加拉帕戈斯鲨 (C. galapagensis) 和黑鳍鲨 (C.
limbatus) of equal size when competing for food.	limbatus)。
This shark sometimes forms mixed-species aggregations with grey reef sharks.	这种鲨鱼有时会与灰礁鲨形成混合物种聚集体。
Rainbow runners (Elagatis bipinnulata) have been observed rubbing against silvertip sharks, using the sharks' rough skin to scrape off parasites.	已经观察到纺綞鰤 (Elagatis bipinnulata) 与银鳍鲨摩擦，利用鲨鱼粗糙的皮肤刮掉寄生虫。
They sometimes follow marine mammals such as bottlenose dolphins (Tursiops sp.) in open water, and are themselves followed by pilot fish (Naucrates ductor).	它们有时会在开阔水域跟随宽吻海豚 (Tursiops sp.) 等海洋哺乳动物，领航鱼 (Naucrates ductor) 也会跟随它们。
Like the grey reef shark, the silvertip shark sometimes perform a stereotypical threat display if pursued by divers, warning that it is prepared to attack.	像灰礁鲨一样，银鳍鲨被潜水员追赶时有时会做出典型的威胁展示，警告它准备攻击。
The display begins with the shark accelerating away to a distance of 15 m (49 ft), before turning and charging towards the perceived threat.	展示开始时，银鳍鲨加速离开 15 米（49 英尺）远，然后转向并冲向所感知到的威胁。
At a distance of two body lengths, the shark brakes, turns broadside, drops its pectoral fins, gapes its jaws, lowers the posterior two-thirds of its body, and "shivers".	在两个体长的距离处，银鳍鲨刹住，转向宽侧，放下胸鳍，张开下巴，降低身体后补的三分之二，并“颤抖”。
The last two elements of this display are unique to this species; the "shivering" may serve to emphasize its white fin markings.	这种展示的最后两个元素系该物种独有；“颤抖”可能是为了强调其白色的鳍部标记。
If the diver persists, the shark may rapidly close in and slash with its upper teeth.	如果潜水员还坚持，鲨鱼可能会迅速靠近并用它的上牙劈砍。
The diet of the silvertip shark consists primarily of bony fishes, such as grouper, mackerel, tuna, escolars, lanternfish, flyingfish, wrasses, and soles.	银鳍鲨的食物主要包括硬骨鱼，如石斑鱼、鲭鱼、金枪鱼、河豚、油鱼、灯笼鱼、飞鱼、隆头鱼和鳎鱼。
Eagle rays, smaller sharks, and octopus are occasionally taken.	鹰鳐、小鲨鱼和章鱼偶尔也会被捕获。
Larger sharks tend to be more sluggish and take more benthic prey.	体型较大的鲨鱼往往更迟钝，猎捕更多的底栖猎物。
The differently shaped dentition in their upper and lower jaws allows them to tackle large prey, gripping and sawing off chunks of flesh with violent twists and turns.	上下颚不同形状的齿状物能够让它们对付大型猎物，用猛烈的扭动来夹住和锯掉大块的肉。
Silvertip sharks have been observed swimming around the periphery of groups of feeding sharks of other species, occasionally dashing in to steal food.	人们观察到银鳍鲨在其他物种的觅食鲨鱼群周围游动，偶尔会冲进去偷食。
